id,label,latitude,longitude
379,Pécoeur,45.8285968,6.1592382
380,Le Villard,45.8275461,6.1675888
381,Croix de Filly,45.830923999999996,6.172146784104049
382,Gendarmerie Saint-Jorioz,45.832394,6.169537532906179
383,Mairie Saint-Jorioz,45.8334305,6.1647464
384,Saint-Jorioz Collège,45.8345737,6.1619001
385,ZAC Prés Vignobles,45.8443033,6.149152883195549
386,Les Chapelles,45.8380154,6.1579479
387,Tuileries,45.8306598,6.1792947
388,Chez Daviet,45.8297556,6.1844055
389,Duingt Plage,45.8273586,6.1967574
390,Duingt Église,45.8270088,6.2022996
393,Croix de Filly,45.830923999999996,6.172146784104049
394,Le Buloz,45.8242394,6.1769885
395,Chez Ruffier,45.8246544,6.183877
396,Lotissement Fergy,45.8236745,6.1876121
397,Duingt Croix d'Hère,45.8231904,6.1931503
398,Mercier,45.9651127,6.1609903
399,Vernog,45.9670361,6.1652642
400,Le Clémone,45.9770205,6.1643054
401,Groisy Gare,46.0108546,6.1756191
402,Le Plot,46.0042337,6.1860045
403,Chez Milliard,45.9977549,6.2168455
404,La Combe d'en bas,45.9999461,6.2243986
405,Chef lieu Thorens-Glières,45.997618,6.2498494
406,Onnex,45.9419884,6.1685051
407,Rossand,45.9453205,6.1769358
408,Stade du Varday,45.9398833,6.1757624
409,Vignes Paradis,45.941542,6.1820465
410,Chez Contat,45.9428995,6.1872859
411,Chef Lieu Villaz,45.9508345,6.19114995
412,Le Pautex,45.9559786,6.1759846
413,La Salle,45.9564973,6.1761615
414,Le Cloz du Verney,45.9556084,6.1724912
415,Le Praz,45.9683816,6.1719775
416,Chef Lieu Les Ollières,45.978097,6.1819912
433,Bévillard,45.9933867,6.2020183
417,Possy,45.9905887,6.2156231
428,Chef Lieu Aviernoz,45.9778876,6.2223767
418,Laval,45.9284913,6.1852307
419,La Goiffetaz,45.9327702,6.1871832
420,Chez Lieu Naves Parmelan,45.9345028,6.1883213
421,Les Maçons,45.9381283,6.1926921
422,Chez Mermier,45.9521271,6.1951387
423,Chef Lieu Villaz,45.9508345,6.19114995
424,Ronzier,45.9543087,6.2052557
425,Disonche,45.9618935,6.2156653
427,Le Vuaz,45.9901373,6.2473368
429,Entredozon,45.8095582,6.1433458
430,Mairie Saint-Eustache,45.7960556,6.1492779
431,Église Chapelle-Saint-Maurice,45.77891855,6.150002651635514
432,Leschaux Mairie,45.7709758,6.1245833
